# t MSD MSD_a MSD_b MSD_c MSCD
1000 2.0503311308364136 0.6934049655203449 0.7296587465158457 0.6272674188002177 2.819767480778125
1430 2.4989333286598447 0.8377615678566499 0.8924448390196206 0.7687269217835513 3.482818637505694
1860 2.8977920434023448 0.9607199307224554 1.0339126965258223 0.9031594161540762 4.305571764398478
2290 3.29234650722734 1.0639092748342802 1.1808342052758292 1.0476030271172798 5.18008618962689
2720 3.6963017988019904 1.1887732198414704 1.3271358906447561 1.1803926883157858 6.080370499508349
3150 4.13475138521641 1.326194067804309 1.4914603705145855 1.3170969468974512 6.932621190799022
3580 4.575528145711505 1.4634630747463986 1.6557696402785573 1.4562954306865352 7.8993174684408185
4010 4.988536197994208 1.5983192722349846 1.800177057788634 1.5900398679707064 8.786875251949782
4440 5.388656948059952 1.7257164929767974 1.9411542781680677 1.7217861769150222 9.695595757020298
4870 5.762163048192999 1.8405311041248253 2.076380785760079 1.8452511583080218 10.570711672698947
5300 6.150421129215132 1.9541871040731218 2.2181627686389174 1.9780712565031695 11.471041835146012
5730 6.552031268810541 2.078925294026116 2.3667326649433615 2.1063733098409525 12.51657627557061
6160 6.953468768008947 2.1983063121123774 2.517138693193936 2.2380237627026744 13.614982399145823
6590 7.347586764799946 2.320551395553328 2.6637174905626253 2.363317878683727 14.601957653586105
7020 7.736527757574782 2.4411698387727836 2.8087625443347677 2.486595374467292 15.707985142430555
7450 8.105143139632839 2.5546373389530004 2.9406621688603596 2.6098436318195435 16.822938581352535
7880 8.487273289817368 2.6781380343491987 3.076714645623674 2.7324206098445702 18.060091825018674
8310 8.848150238340974 2.7922040087286066 3.2090228292512704 2.846923400361193 19.300800434308204
8740 9.233633784259366 2.908461072757316 3.3606279054974215 2.9645448060046538 20.621552813165223
9170 9.61570581929918 3.024978843444387 3.5103946773772927 3.0803322984774475 21.96616581461242
9600 9.985979325630582 3.1360547487941113 3.65679727764413 3.193127299192345 23.371434990747503
10030 10.331986026356939 3.2425119865068397 3.7936625347333472 3.2958115051169714 24.652083480172806
10460 10.677350734088229 3.353670246336024 3.927828852891558 3.3958516348606174 25.997722022628025
10890 11.023551261616353 3.4672870230971253 4.058972882713278 3.497291355805465 27.40591578229936
11320 11.389378713645817 3.583860591085207 4.199287007380647 3.606231115180218 28.75575819603788
11750 11.759123974821291 3.704417718609688 4.347653457153151 3.7070527990584017 30.20148559033356
12180 12.111563525184016 3.8135788348291975 4.490810458886316 3.8071742314687675 31.603055047980376
12610 12.45177105167488 3.918965659814888 4.622927538664348 3.9098778531958387 33.13689999702901
13040 12.798651239482876 4.033474793312968 4.747663694213969 4.017512751955812 34.62690020941814
13470 13.138721728052888 4.150541340863913 4.869052159047041 4.1191282281422446 36.1602837901994
13900 13.493187012201883 4.269505364239938 4.999630982766456 4.224050665195475 37.79351411335973
14330 13.857591950488132 4.388817838849471 5.138028637816881 4.330745473821664 39.454251909531884
14760 14.226454636030558 4.509389669298346 5.282423483206898 4.434641483525342 40.94865688538652
15190 14.580896884776802 4.6286481608825225 5.415252180541945 4.5369965433521315 42.638138666629736
15620 14.925848024196254 4.742916660728262 5.5343656180993515 4.64856574536874 44.248421055586235
16050 15.285063495017772 4.862897971054482 5.664172776353699 4.757992747609288 45.95879045605957
16480 15.674463149504556 4.98700990049979 5.812947288943902 4.874505960060965 47.60722363513133
16910 16.0845172994011 5.115504922439361 5.976641359660805 4.9923710173009335 49.226109553759095
17340 16.489669770947025 5.2359194239948454 6.1431786108046165 5.110571736147005 50.901435737852516
17770 16.902306633967438 5.362345814445817 6.296881489145759 5.243079330375866 52.6416544806041
18200 17.302569997636873 5.496093177029141 6.446115334744611 5.360361485863275 54.32492507133322
18630 17.719074685315626 5.63340952675005 6.594889559948866 5.49077559861704 56.123711029424086
19060 18.125273952396405 5.757876913716927 6.750303349741725 5.617093688937244 58.10083894228799
19490 18.535156777398303 5.882894903613105 6.90475205270324 5.747509821081919 60.08745299856021
19920 18.962234844326918 6.0145818331262495 7.0739093247830365 5.873743686417803 62.13999551383024
20350 19.39226213273007 6.153426777240375 7.2333223636095605 6.005512991879628 64.23274331580004
20780 19.81472211861803 6.2867934136262145 7.388397046096053 6.139531658896092 66.28144810581271
21210 20.241112693393276 6.425830682743043 7.548969028728327 6.266312981922074 68.52609495795696
21640 20.666178957268023 6.55770248994364 7.7066919264838045 6.401784540841018 70.74776511092713
22070 21.081369571347736 6.685335944992469 7.860640930842371 6.535392695512573 73.03159442756163
22500 21.516333452689967 6.823340116445141 8.016055379680187 6.676937956565307 75.35012204899459
22930 21.944588640913842 6.95616190132302 8.17104898279482 6.817377756796275 77.72504287802836
23360 22.377184904457614 7.096011869704941 8.320660893372654 6.960512141380043 80.16967962727384
23790 22.79904337055083 7.229331936531641 8.471372576032264 7.09833885798632 82.77251610649586
24220 23.223807537218793 7.368876164773879 8.617790035762171 7.237141336682874 85.49555447166946
24650 23.6480606447633 7.511318463526378 8.759422955792305 7.377319225444475 87.99975101727411
25080 24.077061167778705 7.651039498159792 8.912717553189283 7.5133041164295555 90.57217231324044
25510 24.504731391308795 7.790887273230666 9.072835404559726 7.6410087135183495 93.25825039706378
25940 24.931911384517875 7.92635625958835 9.225781956501304 7.779773168428153 96.09732558141086
26370 25.3626806493742 8.06590132545298 9.374520641152953 7.922258682768433 99.03997579906716
26800 25.778374252905632 8.20599459443214 9.50973814221353 8.062641516259438 102.13850345290902
27230 26.18981674787827 8.339618545368989 9.641630316726397 8.208567885783344 105.3898382635797
27660 26.606986620579246 8.473672087432247 9.78648454897473 8.346829984171505 108.4986332783104
28090 27.028944641217993 8.61041562837518 9.937473751639237 8.481055261203865 111.64898411760026
28520 27.457030077853947 8.751914543330468 10.086864172430346 8.61825136209354 115.03118005983602
28950 27.874003759845838 8.89504426932298 10.224104167713039 8.754855322809368 118.43291173945781
29380 28.2733086934977 9.033604496494013 10.347802127580998 8.891902069422965 121.82022563134005
29810 28.65715416955123 9.16721339516313 10.473250080469393 9.016690693918205 125.26511574772434
30240 29.04899572804254 9.29476648347586 10.619596017585856 9.134633226980846 128.7145121676046
30670 29.452832769981082 9.428420998581876 10.771201256760259 9.253210514638575 132.2253761148962
31100 29.882282940200113 9.571872299406914 10.929042047023138 9.381368593770123 135.81810878655344
