# t MSD MSD_a MSD_b MSD_c MSCD
1000 1.0998479988496443 0.40203301248255213 0.39515655322214316 0.3026584331449273 1.4409602935201289
1430 1.2773529497542653 0.460249074406376 0.46247683410635404 0.354627041241545 1.8632486289677253
1860 1.4082905426284815 0.4997538320342197 0.5124022391107994 0.396134471483472 2.2368735720759862
2290 1.5387845270954534 0.5357463164180873 0.5567899361212827 0.44624827455605154 2.651612398447962
2720 1.6915247103889917 0.5851141099152334 0.6205150022193325 0.48589559825446127 3.09500473308502
3150 1.8715809566542914 0.6434012612520257 0.6967011252614622 0.5314785701407989 3.50345126279074
3580 2.023319300984656 0.6925381890291148 0.7565363732595268 0.5742447386960077 3.9043084506635948
4010 2.15818044305261 0.735203794466886 0.8036916741127369 0.6192849744730442 4.268355976962416
4440 2.2967784450468995 0.7762553066794985 0.8564529733810919 0.6640701649863319 4.597790784505943
4870 2.435437001589549 0.8252072860541745 0.9049447739861628 0.7052849415492154 4.966705871736443
5300 2.5876924261129015 0.879130830890982 0.958112535982177 0.7504490592398086 5.337646969389602
5730 2.737498714158667 0.9302658573010878 1.010588523542526 0.7966443333150139 5.701394681887651
6160 2.874547569224245 0.9731497296451296 1.0623563517603742 0.8390414878187201 6.071370599373767
6590 3.0188430404044566 1.0247940718825646 1.1157039631756263 0.8783450053461785 6.473293340334998
7020 3.1693935968806186 1.0741838683518854 1.1736282031232503 0.9215815254055054 6.915303831385642
7450 3.3102656202173137 1.1235922713654702 1.2246625697811104 0.9620107790708613 7.308704340600317
7880 3.440489551400613 1.1690056954948393 1.2704319130978834 1.001051942807802 7.651750264754813
8310 3.5699833156607212 1.214905727035574 1.316721514620478 1.0383560740047157 7.993937953530275
8740 3.7040839829731307 1.261409408351935 1.3686168901895879 1.074057684431641 8.358176733928103
9170 3.858656963563814 1.3131540656907923 1.4309462488550146 1.1145566490179208 8.70622615115902
9600 4.005857409475652 1.366573672002325 1.484473290113824 1.154810447359471 9.028344095497703
10030 4.146940447006279 1.4164982458602322 1.5376559825326943 1.1927862186134301 9.397969332861916
10460 4.287697378742769 1.467198992458446 1.5865113689312904 1.2339870173530787 9.74282925389535
10890 4.426318282797258 1.51332187947214 1.6358608502867225 1.2771355530384363 10.079894173477415
11320 4.571315788244965 1.5610606679728711 1.6901701607716204 1.3200849595004949 10.489995421343345
11750 4.712182261388281 1.6071543020678263 1.7414133033760246 1.363614655944341 10.864490426921847
12180 4.849354567419069 1.6539904872503328 1.7858985792622966 1.4094655009064119 11.304510200388245
12610 4.982066975019955 1.7000127372808542 1.827478190031153 1.4545760477079073 11.771333417655404
13040 5.116986902544247 1.7457454625238076 1.8682850058994902 1.5029564341209205 12.15634355688842
13470 5.263174072105371 1.7952970934442283 1.917052853702269 1.550824124958803 12.507739713893669
13900 5.407798698985602 1.8449028179675526 1.9648167324705759 1.598079148547417 12.828353005587456
14330 5.553899022790429 1.89325545431963 2.012450067889503 1.6481935005812594 13.22050956523802
14760 5.694367957794236 1.9406062472181085 2.058052972288372 1.69570873828772 13.590103756104867
15190 5.832720861888649 1.9885597176106935 2.104516397750849 1.7396447465270928 13.888683499092826
15620 5.976432670593954 2.037562393020852 2.1549737894179795 1.7838964881551533 14.19239373055088
16050 6.1159380369557 2.082391344982225 2.2044822092673337 1.8290644827062197 14.472608436805906
16480 6.260141734746944 2.132265637837495 2.252521763329853 1.8753543335796081 14.810360511048696
16910 6.405640296614484 2.182651298205116 2.3004038689041595 1.9225851295051395 15.175221507884944
17340 6.563698503766142 2.236325060766057 2.358144237441858 1.9692292055581646 15.570611129626867
17770 6.712734787754997 2.284979337667771 2.4098279832035883 2.0179274668836693 15.880843087012755
18200 6.854839234225949 2.327405200162163 2.4613264282022285 2.066107605861399 16.188750017109193
