# t MSD MSD_a MSD_b MSD_c MSCD
1000 2.1040473804777515 0.7344162008053055 0.7253168114110721 0.644314368261356 2.8683395217889647
1430 2.555308132397919 0.882646605294393 0.8783073864589351 0.7943541406446636 3.6086752712012555
1860 2.9483192846518347 1.013835805732674 1.0009832335927438 0.9335002453264 4.274942728561972
2290 3.3433857014830966 1.1450182826472042 1.1239781265766966 1.07438929225916 4.897536868588189
2720 3.7656156878059717 1.2887551394495342 1.271833515280972 1.2050270330754769 5.442018126836817
3150 4.208244518685182 1.433907320410257 1.438277211417854 1.3360599868571337 6.105971155288928
3580 4.640693764860666 1.5675770803946925 1.6028139062539246 1.4703027782119917 6.785608145604019
4010 5.05872551163073 1.6941630959570584 1.751681426494137 1.6128809891795979 7.506912194075895
4440 5.464170024882611 1.8128282975009433 1.895993915847771 1.7553478115338808 8.357205331503145
4870 5.881344077403963 1.9409850537472106 2.039993209861565 1.9003658137951474 9.217265109766142
5300 6.331294187262395 2.0806020729768835 2.203513769475047 2.0471783448105936 10.027467353141361
5730 6.780854933092782 2.2227945761893624 2.3686336920035003 2.1894266648999747 10.911731390888137
6160 7.2249310581190835 2.361856942633791 2.526375919663933 2.336698195821376 11.772390723168714
6590 7.661580260043528 2.4977523044585976 2.6787508760866747 2.4850770794981796 12.55883232713453
7020 8.087796878408996 2.634929977736373 2.8287910889194285 2.624075811753252 13.406645740617261
7450 8.533608667993958 2.77465233422219 2.980720930248668 2.778235403523268 14.470393186697885
7880 8.994246103061956 2.9187258831396843 3.1439807061767957 2.9315395137457263 15.539382759320274
8310 9.450100361052918 3.0546710847798737 3.310863527038058 3.084565749235135 16.58354645362093
8740 9.88677171719676 3.1890460888045666 3.4676518980265323 3.2300737303654867 17.524183949515383
9170 10.308092663442421 3.3138373780065895 3.6136683700369394 3.3805869153988173 18.568371397640966
9600 10.736020000750479 3.4420107685493484 3.764591361291553 3.5294178709097634 19.487557299060853
10030 11.168609726640883 3.568877946401649 3.919723762258544 3.6800080179807733 20.288459145253015
10460 11.60011215428218 3.6949635610671407 4.076068140075032 3.8290804531399605 21.09572631073384
10890 12.028032072331706 3.810840243259527 4.231654180438266 3.9855376486339837 21.938381621640904
11320 12.444860510325826 3.933111360862882 4.376949471501815 4.1347996779611105 22.791209945865933
11750 12.881050857703695 4.060803254346102 4.523755057092846 4.296492546264634 23.66057231881729
12180 13.315218796133273 4.200401178424904 4.669416597625919 4.4454010200822225 24.63942644745341
12610 13.74976271367849 4.3311847659574285 4.817738482551971 4.600839465169152 25.591454807127203
13040 14.18639860214782 4.455066949330769 4.9748432497135076 4.756488403103434 26.462909543515433
13470 14.61227233175605 4.568433946288245 5.135135953277995 4.908702432189715 27.445180472932883
13900 15.043757778736802 4.688772843030979 5.298830720798109 5.056154214907568 28.37165615108247
14330 15.482872321042374 4.816837690152007 5.452177322788522 5.21385730810198 29.241440453119846
14760 15.921470640018345 4.946334733821759 5.602185980568132 5.372949925628679 30.16706986716142
15190 16.362540540700863 5.079218559759025 5.753333221072494 5.529988759869223 30.93242014459022
15620 16.804587152573962 5.210527340612294 5.90445567855412 5.68960413340735 31.641591094503067
16050 17.25579680007229 5.330909112465172 6.0706982031777015 5.854189484429482 32.435129138328904
16480 17.715016063262325 5.461595749728823 6.233233948390894 6.02018636514261 33.02844473473421
16910 18.175587658252514 5.6019290507989945 6.392439854235117 6.181218753218607 33.647425901013065
17340 18.625902107704686 5.736961505555698 6.543015622395225 6.345924979753425 34.235360339077246
17770 19.08476643822635 5.879071060288651 6.700680327074791 6.5050150508630065 34.85964910662852
18200 19.54119059880902 6.013126178990793 6.854472285874896 6.673592133943335 35.470707423180585
18630 19.988506902971128 6.141896083293475 7.005128369339847 6.841482450337807 36.12178188788612
19060 20.430371171359344 6.27374285670347 7.148970782092298 7.0076575325634645 36.81033784025382
19490 20.875724015052114 6.412276446731226 7.289665634607932 7.17378193371313 37.599850525214705
19920 21.340896530482123 6.558855090661273 7.441400694751079 7.340640745069334 38.210672920687664
20350 21.81145864805991 6.703462024555312 7.598696808567296 7.509299814937104 38.97501408237786
20780 22.28758078546522 6.85233439343175 7.7567028369231545 7.678543555110843 39.680668262856095
21210 22.74737060211263 7.000435094271149 7.900518617497898 7.846416890343346 40.47830670146151
21640 23.20076021523977 7.147890165114468 8.042335950193968 8.010534099931576 41.325773759527046
22070 23.676413497596357 7.301158602036182 8.198077128013468 8.177177767547587 42.154199398653354
22500 24.15375061078092 7.453657958999368 8.361743877871502 8.338348773910349 42.91962096807004
22930 24.63190896902697 7.607808848799863 8.519074823391225 8.505025296836044 43.77960090212806
23360 25.082205518340437 7.749575564571232 8.66579025258152 8.66683970118795 44.56984592113568
23790 25.537779303878896 7.8936775275404765 8.80932956152399 8.834772214814718 45.4169468753934
24220 25.989130524812253 8.034824521923621 8.952894756494343 9.001411246393983 46.217579062886166
24650 26.454299433209247 8.180239183660216 9.102237138118479 9.171823111430225 46.896248689753335
25080 26.92993645915103 8.328447953560222 9.258324502123012 9.343164003467972 47.76765580125236
25510 27.41626419393737 8.480467201272699 9.415777211426889 9.52001978123762 48.625216207859104
25940 27.89066381158939 8.638251068228847 9.558407186153657 9.694005557206935 49.55916337648757
26370 28.368034752793005 8.792852537134475 9.702423141906076 9.872759073753027 50.60079750839666
26800 28.81935554249002 8.939070135700042 9.840585258530126 10.039700148260076 51.479731756364984
27230 29.283897018755 9.094681727467671 9.982294328968333 10.206920962318963 52.54083646103005
27660 29.753855744568853 9.23845579603064 10.133162536000594 10.382237412538622 53.478517216621796
28090 30.223258201508255 9.389281189294598 10.275094265751797 10.558882746462553 54.54629165526767
28520 30.704631844304437 9.53987489913042 10.427886786659407 10.736870158515078 55.61165103107203
28950 31.1875837192267 9.695742200218566 10.570422322981983 10.921419196026541 56.70220659208571
29380 31.6633045035137 9.840517083724274 10.711815459910218 11.11097195987881 57.746258709161175
29810 32.154504193542984 9.984555846814638 10.866029529194266 11.30391881753408 58.690353603123555
