# t MSD MSD_a MSD_b MSD_c MSCD
1000 1.2217310334499916 0.3980949839853828 0.4740158785538071 0.34962017091080083 1.6159917846500185
1430 1.3870218906540324 0.43123825307932884 0.5473705873721836 0.4084130502025461 1.9851043166544355
1860 1.5642091121221326 0.47386252864036776 0.6244651952608966 0.4658813882208678 2.3307087284447303
2290 1.7917139353900753 0.5470725820383634 0.7224048199944361 0.5222365333572393 2.6500178406360706
2720 2.0079176809150945 0.6161097051457743 0.8170108647816227 0.5747971109876981 2.995029171737845
3150 2.178303370727379 0.6531376791218647 0.898442270221173 0.6267234213844038 3.3725749458475103
3580 2.3519669993518986 0.693556412080598 0.9835548011379255 0.6748557861333467 3.6758180611301827
4010 2.5612525665909716 0.7585421569015626 1.0777571429802961 0.7249532667091534 3.9476087507746387
4440 2.7616018171196592 0.820894450620462 1.1662103409708362 0.7744970255283208 4.20968144734888
4870 2.9383437536387746 0.8630161997033623 1.2543121908800443 0.8210153630552605 4.473822609773029
5300 3.1098078366139763 0.9021624346762032 1.3444053127926787 0.8632400891451112 4.796921785664266
5730 3.2915011000587397 0.9592288608721323 1.426482590477522 0.9057896487091219 5.092949592199582
6160 3.470699737922862 1.009509942260668 1.5093375169717524 0.9518522786903946 5.373363198490882
6590 3.6321855293835097 1.0447371114408186 1.5922486508010185 0.9951997671415859 5.616679687469916
7020 3.8017006530793505 1.0828250169567328 1.6814150437724014 1.0374605923502094 5.845583501555333
7450 3.975170676077772 1.1330869787350226 1.763364707527157 1.0787189898155607 5.9910183798008605
7880 4.15181245908887 1.1869006731048952 1.8426486081813211 1.1222631778027208 6.155238241368495
8310 4.3188893542405 1.2266713150521202 1.9311593911234934 1.1610586480649172 6.175566378219949
8740 4.4974763258838415 1.265142493227861 2.0260305747361405 1.206303257919876 6.312501016821605
9170 4.6873537571094905 1.3197946644184582 2.1161012947365494 1.2514577979545278 6.396675096678648
9600 4.876946720712766 1.3706500553395977 2.210234204689564 1.2960624606836355 6.422080221675861
10030 5.056844060561301 1.4131658467941366 2.3035188718056667 1.3401593419614155 6.500029461138522
10460 5.230404487835654 1.4522834207376134 2.392232931356162 1.3858881357419608 6.636300889945022
10890 5.414289306584203 1.5040849121812236 2.4786558358029986 1.4315485585999324 6.684046353625647
11320 5.604933087699125 1.558098363277527 2.5739036547814385 1.4729310696400768 6.823722093650789
11750 5.787847348711131 1.6009255955590678 2.669353594639306 1.5175681585126206 6.9585270620305275
12180 5.965195016979004 1.6378572828162963 2.7623000845470655 1.5650376496155562 7.133217167768734
