# t MSD MSD_a MSD_b MSD_c MSCD
1000 1.286821094713086 0.4459516042675085 0.4656361738412153 0.3752333166043279 1.6869971325077913
1430 1.4930084278735718 0.517511066080486 0.5289268720031864 0.44657048978992525 2.074193109608876
1860 1.6536211003408872 0.5785020616289421 0.5782008646151167 0.4969181740968128 2.3687910667314616
2290 1.8145263124394992 0.6340383593451219 0.6315512038759966 0.5489367492183372 2.715363866788262
2720 2.0289715005265583 0.7089332183718059 0.7143253848399406 0.6057128973148596 3.153964704531408
3150 2.2333914693166395 0.7870476497744561 0.7834472161616671 0.6628966033805654 3.501845605553632
3580 2.3974161878798452 0.8497974783376445 0.8345239891891986 0.71309472035305 3.8199985126215497
4010 2.5731102122026375 0.9127218783607155 0.8922161403210803 0.7681721935208046 4.058939870204972
4440 2.7384637329271397 0.9689063097444212 0.9529003532000174 0.8166570699827076 4.3148490871520115
4870 2.9219924971993394 1.0313791826336038 1.01889289200824 0.8717204225574201 4.59356635153607
5300 3.102048882478129 1.0927573014174006 1.0858259231874887 0.9234656578732545 4.879044020686095
5730 3.282437576328361 1.1578536696291084 1.1478863205850955 0.9766975861142182 5.070020825177057
6160 3.461036189557513 1.2238211661387504 1.2062026752793797 1.0310123481394513 5.3195531839880354
6590 3.642293604974053 1.2880689136278447 1.274595830730304 1.0796288606158406 5.49432443625302
7020 3.824507092249902 1.3521698102137578 1.3395462620364027 1.132791019999654 5.610757165057579
7450 4.007994893471823 1.4175667228290878 1.4065078794339765 1.183920291208794 5.787077963502819
7880 4.189056271918811 1.4818041341812573 1.472308912970815 1.2349432247668108 5.96113625018677
8310 4.3696569702544545 1.5399076018658708 1.5388287048060547 1.2909206635824635 6.176548943035758
8740 4.5529814369541235 1.5959129715791474 1.6106206536198917 1.3464478117551615 6.270838556110534
9170 4.730421492289785 1.6531384313010018 1.6752268655095863 1.402056195479178 6.312979995321009
9600 4.908580522825991 1.7149372109929264 1.7392919590993265 1.454351352733758 6.457025135239139
10030 5.093827545402401 1.7792460924568678 1.8127778082811916 1.5018036446643144 6.6229168649293655
10460 5.283804799199761 1.840282029161092 1.887530342970262 1.555992427068353 6.779516490028509
10890 5.467593958335665 1.8994646805806161 1.962280508421048 1.6058487693339716 6.921041971449643
11320 5.660402764195992 1.9644141506064483 2.03987716330214 1.6561114502872833 7.051783600834326
11750 5.845246174156805 2.0285615041180676 2.112083391193696 1.7046012788449185 7.1188779749127375
12180 6.025634068191431 2.0912769625971834 2.1835888129328738 1.7507682926612762 7.16875836125817
12610 6.204946143911787 2.1507963434063075 2.2532559125420426 1.8008938879633967 7.1727488723062995
13040 6.383080261918821 2.208467512414948 2.324111776135141 1.850500973368698 7.210673599636905
13470 6.564868379765218 2.2666854013720217 2.393476517288609 1.9047064611046256 7.237358827578052
13900 6.750411061231705 2.3301682962781047 2.462203336495714 1.9580394284577527 7.255084721861447
14330 6.930798766672971 2.391851173945805 2.5293734575032873 2.0095741352238634 7.281716120424633
14760 7.111449032228509 2.447738441080783 2.600680449546761 2.0630301416010624 7.430774657529283
15190 7.3039804477287165 2.5084354702919534 2.676094530265689 2.1194504471709537 7.552078933689822
15620 7.505034700877809 2.5749643606145867 2.7549705344337063 2.175099805829479 7.713965953172276
16050 7.696738425525023 2.6439472035681826 2.824548961460172 2.2282422604965095 7.959780679720018
16480 7.88639932016267 2.709424214982135 2.892189218141609 2.284785887039089 8.177668952243591
16910 8.07909883418351 2.7748331142395775 2.960849043725961 2.343416676217861 8.36242067065738
17340 8.284644528657848 2.8423474407612135 3.0407730749532935 2.4015240129433892 8.586520557454364
17770 8.480177122681436 2.911174549135453 3.1137332136714484 2.4552693598745057 8.79517687466995
18200 8.670905685500445 2.981484301035736 3.179217102488274 2.5102042819764794 8.995095992972715
18630 8.874757855905653 3.056705267287805 3.2492495288089245 2.568803059808916 9.112073171595581
19060 9.062482041316104 3.1245564646505875 3.3117528486868975 2.6261727279787532 9.170934707684305
19490 9.254270279883967 3.1924553772706523 3.3777119664908466 2.6841029361225157 9.267334337292109
19920 9.450628527797987 3.256376554078104 3.4465120248702066 2.747739948849505 9.449213015578017
20350 9.647947192329257 3.327050148657679 3.509213373477822 2.811683670193793 9.637580784972155
20780 9.843484961854701 3.3973852995067677 3.573277418107412 2.8728222442403606 9.857334284651966
21210 10.045689991416051 3.4666866045313443 3.6450320920393824 2.9339712948452474 9.971386569383798
21640 10.235081305508073 3.538454595316762 3.7066127761223964 2.9900139340688785 9.989526284634875
22070 10.427706360312136 3.604385889758015 3.7735522762322438 3.049768194321991 10.056049086614864
22500 10.61109922336075 3.6720553293304206 3.831275289026042 3.1077686050043836 10.145239806770052
22930 10.811516763739027 3.748220170718017 3.8925397621457587 3.1707568308752356 10.214842867924036
23360 11.010456677620025 3.824862525325687 3.954073964314866 3.2315201879794704 10.178170995089776
