# t MSD MSD_a MSD_b MSD_c MSCD
1000 1.3113033984732747 0.4555323035048376 0.4779209142439749 0.3778501807244601 1.7210673362412592
1430 1.5048513860723305 0.5175201560146905 0.5438214814453944 0.44350974861222053 2.1263795930671487
1860 1.6448050763127093 0.5613959654977531 0.5868441845184253 0.49656492629653226 2.5180127556200858
2290 1.7979048900514663 0.6086235522575292 0.6347474314069005 0.5545339063870469 2.9792492266654405
2720 1.974622269599641 0.6718430522355748 0.699470157892528 0.6033090594715235 3.479650524144942
3150 2.1857656925418136 0.7503132189199436 0.7788310149531271 0.6566214586687594 3.9185726953043103
3580 2.3627759211959445 0.8070429225457054 0.8491302285545562 0.7066027700956405 4.295750635625463
4010 2.4911574133294003 0.8492478442440797 0.8977922018996165 0.7441173671856769 4.632253727393185
4440 2.6282250932403555 0.8904771827998771 0.9453454405937312 0.7924024698466958 4.9681004573011585
4870 2.7761104753077297 0.9389835506633997 1.0045087608744538 0.8326181637698831 5.308083596484433
5300 2.932434869476378 0.9926282716725968 1.0657684679139328 0.8740381298898118 5.581772183638508
5730 3.0790419428550577 1.0456094803516993 1.1209235676787859 0.9125088948245849 5.767793033784787
6160 3.2205863181618457 1.0931371271480108 1.1744518585232477 0.9529973324906712 6.0062754595379655
6590 3.3609266679971626 1.1346115548152853 1.2325010525525324 0.9938140606293514 6.243994295452475
7020 3.4891639349023293 1.1715342617922704 1.2821672682679077 1.0354624048422294 6.437014504549098
7450 3.6211656205878424 1.2222250130685688 1.3273921135896534 1.0715484939296331 6.624077336097165
7880 3.761782106761505 1.2810592125376359 1.3717578275463993 1.108965066677567 6.819730596116963
8310 3.9069780109404944 1.3339479873504518 1.4218072049263322 1.1512228186637459 7.1333048169439905
8740 4.035568216902457 1.3791945268679737 1.4666019695252686 1.1897717205091956 7.430282466216193
9170 4.172340158103972 1.4242835103831437 1.515928768263285 1.2321278794575707 7.753402986298545
9600 4.315147465179751 1.4738556016408546 1.562912592670298 1.278379270868508 8.081024442137242
10030 4.452520262690851 1.532125999746324 1.599378346599539 1.321015916345021 8.39356983168638
10460 4.580035958755391 1.5888876107025658 1.6314076036334049 1.3597407444193594 8.651670799913665
10890 4.704714487372339 1.6373856273286251 1.668059719895528 1.3992691401482045 8.949499805592602
11320 4.822895689536179 1.6805466020372337 1.7008051786478073 1.4415439088511834 9.294023471619779
11750 4.9387528685769615 1.7237694602548996 1.7327280172668051 1.4822553910551042 9.579095836488646
12180 5.068180813387428 1.77190525940593 1.7697446742799263 1.5265308797015373 9.949941966760026
12610 5.193961273089656 1.8241925466674902 1.802275543530715 1.5674931828914795 10.275479004506165
13040 5.307653101124287 1.8693706025112817 1.833216122756739 1.605066375856289 10.683079594119572
13470 5.420387728491556 1.9124611716310287 1.8626518346263792 1.6452747222341602 11.109985023275165
13900 5.53352679588323 1.9587185144689387 1.8919248885756366 1.682883392838666 11.48202100498534
14330 5.671150258353882 2.015098851749697 1.931034444786339 1.7250169618179503 11.863573235527499
14760 5.803132400444136 2.0747215202037075 1.9661511392467899 1.7622597409936889 12.193164966227416
15190 5.939384024028562 2.130986841699159 2.0114628163006847 1.796934366028687 12.557968205782068
15620 6.057874619449174 2.1762830825190407 2.0480243416036235 1.8335671953264936 12.849436522468311
16050 6.165393725331535 2.2214672361111325 2.0748815882947165 1.8690449009257164 13.117377186849195
16480 6.282560409602177 2.273929509395729 2.104504499073732 1.9041264011326309 13.378587809731345
16910 6.418678804304438 2.334297893388315 2.1412221083365925 1.9431588025796014 13.669240203363062
17340 6.555569252266526 2.384709898194801 2.1913583745956426 1.9795009794762048 13.913402523140086
17770 6.673894942749234 2.4257660181683547 2.234127600401384 2.0140013241795516 14.136825932769103
18200 6.783368432663694 2.4670903939615036 2.2643228253629273 2.051955213339311 14.519274461213405
18630 6.898552261892444 2.5102113389869225 2.298864175173384 2.0894767477321476 14.978808123549527
19060 7.027220853207799 2.5637739243612767 2.333133921192628 2.1303130076537573 15.470405078461305
19490 7.162720793148376 2.626835581984337 2.368471411065825 2.1674138000983496 15.935478033203156
19920 7.298433067960872 2.6823815417153605 2.412828989615316 2.203222536630062 16.403581776757814
20350 7.427965051767567 2.7299928271483216 2.458387346343427 2.239584878275893 16.915586761817195
20780 7.543924109126152 2.7790065361604914 2.490679855800295 2.2742377171655073 17.42780304376112
21210 7.6673101323524495 2.831204653922324 2.5244552506967644 2.3116502277333657 17.95209202754232
21640 7.806151446240147 2.887120504313503 2.567255416485046 2.3517755254417083 18.448006412647207
22070 7.944986016074554 2.944594553016311 2.6133897064362466 2.3870017566219905 18.876245521698078
22500 8.078015163825278 2.9984609460273437 2.6584377237932237 2.421116494004877 19.393448895266793
22930 8.224885749732245 3.0510736876725817 2.713914990023627 2.4598970720359534 19.897926270840305
23360 8.367810556239201 3.107154822436728 2.7626845443905483 2.497971189411707 20.333417660706303
23790 8.509255439691858 3.1705850245425284 2.806658064066728 2.5320123510826473 20.862489116752947
24220 8.662929329100086 3.2376866242420457 2.852489327846018 2.572753377011798 21.27666928445665
24650 8.815287757459759 3.2983132542064735 2.906146845477943 2.6108276577752467 21.674027642625422
25080 8.951671854624841 3.3513273677521607 2.958332935057886 2.6420115518148433 22.059307690518338
25510 9.096645581794313 3.40980065651933 3.010093570113024 2.6767513551619686 22.29289507828152
25940 9.24036762412051 3.469504429866664 3.0585089615966123 2.7123542326574026 22.64883263203533
26370 9.38312072554402 3.53444211141058 3.103829720983313 2.7448488931501602 22.944617070578314
26800 9.521311983668145 3.5954151603179056 3.1515126077205715 2.7743842156296035 23.23061840608894
27230 9.654868270543998 3.644140990486569 3.20116239919278 2.809564880864661 23.390909007802748
27660 9.790157979039892 3.6952243836581773 3.2558893225090113 2.839044272872706 23.697572622261497
28090 9.925268309091429 3.749755713284654 3.3070744053697236 2.8684381904369265 23.98082896744509
28520 10.078737736619011 3.8122781056457224 3.3626158216618705 2.9038438093113124 24.37124426808937
28950 10.226346012965507 3.87077286376118 3.418067190611793 2.9375059585925762 24.71977014415685
29380 10.361473858385118 3.922681001559179 3.4679898542342102 2.9708030025915617 25.03167390136099
29810 10.49456050330614 3.968071998800259 3.518537298344645 3.0079512061613216 25.42833499795935
30240 10.633334365438992 4.019666675086248 3.571764731170085 3.0419029591827607 25.85707835417438
30670 10.781169513845562 4.0763877178606425 3.624230214016406 3.0805515819683693 26.41211902876064
31100 10.930284828412976 4.136741324450921 3.678119027102164 3.115424476859792 26.863699500293855
31530 11.07978855684697 4.198015201211826 3.7346666864650433 3.1471066691701637 27.230739646729127
31960 11.228210531744468 4.249213660512019 3.792911833371141 3.1860850378612295 27.64529212390283
32390 11.373442788769777 4.303549499051017 3.83878668276165 3.2311066069570398 28.059875139639516
32820 11.514702409563972 4.360627208055743 3.8857250188851298 3.2683501826232715 28.48696145188733
33250 11.67190385523807 4.42280832854347 3.9338525453886435 3.315242981305601 28.905699909262932
33680 11.814406293619696 4.477952434286932 3.980038919419403 3.3564149399133876 29.242349538801374
34110 11.962445998462938 4.532569492810645 4.032369090969632 3.397507414682665 29.624374859782026
34540 12.113444799164078 4.580572382205651 4.087737846335017 3.4451345706233454 30.15034304645925
34970 12.264591764311428 4.632655325894234 4.14705630716096 3.4848801312561313 30.772789714764293
35400 12.41121244119828 4.688300305484566 4.190050432782759 3.5328617029308833 31.288504053018833
35830 12.536086642985016 4.740040141836205 4.224796844689646 3.571249656458935 31.62957299070661
36260 12.675550816014079 4.797895005164242 4.26443231170776 3.6132234991418626 32.04471191226432
36690 12.817377427062281 4.8516453823953585 4.317195398542854 3.648536646123912 32.625727143414686
37120 12.973150127564994 4.902698804282867 4.3770539755804725 3.69339734770164 33.295252946534326
37550 13.115082267110818 4.94507724693464 4.434066938307581 3.7359380818682975 33.79124988241077
37980 13.255562097759052 4.9937821889532215 4.480284929841983 3.781494978963871 34.27349581362071
38410 13.386863013230931 5.041658306793384 4.518163566516598 3.827041139921034 34.884618787237024
38840 13.535297761320395 5.095061645302325 4.564558098111156 3.8756780179068016 35.52531374143728
39270 13.698696664144286 5.149233487788048 4.626559538824437 3.9229036375317268 36.261475841285446
39700 13.847017495779157 5.1953905576794925 4.684525964972523 3.9671009731273283 36.894521138468214
40130 13.997403629013242 5.243414174526215 4.737375534462251 4.0166139200247875 37.54696336665327
40560 14.150067630147486 5.299341558698687 4.783805535736068 4.066920535712683 38.2789474342225
40990 14.286204122339024 5.345319282018853 4.82718797092311 4.113696869397233 39.126056742993605
41420 14.429294935878762 5.389664276554929 4.878515112495236 4.1611155468283485 39.9765585159344
41850 14.579247372254729 5.426645788223206 4.938813286872517 4.213788297158952 40.76300902274028
42280 14.731263735990341 5.468893327663018 5.001081681717223 4.2612887266100445 41.60015248740825
42710 14.886332067393802 5.520558491642278 5.055934652028586 4.309838923722843 42.50880434303215
43140 15.043573858587076 5.569753134441717 5.11041386700707 4.363406857138381 43.28385539393616
43570 15.205154617799838 5.6210063589484545 5.168850031672572 4.4152982271789725 44.02719606383858
44000 15.353110877931401 5.660711401067159 5.229195871264905 4.463203605598983 44.66150727032545
44430 15.505029312727675 5.711156500786324 5.287499224475688 4.506373587465662 45.29931857054714
44860 15.670312546698664 5.766706094412289 5.346359224791005 4.557247227495448 45.97061775441949
45290 15.825111805846662 5.82508764979406 5.3994552357771575 4.600568920275488 46.57391716103072
45720 15.985061073976981 5.872128352417361 5.456198540360074 4.656734181200076 47.186409963226986
46150 16.136735372038284 5.916553942007214 5.512797948205345 4.707383481825982 47.774135836096775
46580 16.279013726925008 5.960112792319063 5.565887395355205 4.753013539250679 48.33149820103511
47010 16.426776521466568 6.01175874648801 5.613129264113311 4.801888510865193 48.66990531358911
47440 16.56817494249836 6.065451351739069 5.658680692774235 4.844042897985169 49.047344345395466
47870 16.72913105865228 6.120903145737618 5.715785872765181 4.892442040149232 49.475988554943754
48300 16.888187428766184 6.167285689426615 5.770834899058571 4.950066840280978 49.96913522481065
48730 17.0387532780761 6.2100678674818095 5.825032066142966 5.003653344451544 50.2291774302081
49160 17.178383748910292 6.256396887792306 5.86516348239859 5.056823378719705 50.58026524692432
49590 17.3325854280708 6.319181887959035 5.90403506603938 5.109368474072512 50.87779278317143
50020 17.49240238720985 6.380284933180435 5.947459751268366 5.164657702760908 51.169704391017575
50450 17.65671067101291 6.4327414224038915 6.001468749084948 5.222500499524275 51.461991947680254
50880 17.821311829341496 6.478577768202718 6.064720409725017 5.27801365141371 51.76403960809914
51310 17.994312839070265 6.532630241573736 6.123376885383113 5.33830571211371 51.96696585618649
51740 18.14785430610074 6.57734196821981 6.1779322875349925 5.392580050345861 52.20758775781521
52170 18.29628512689813 6.631053717371061 6.225036256519018 5.440195153008308 52.45703564301602
52600 18.460168469925918 6.694936527285321 6.276930329727775 5.488301612912654 52.692697499883025
53030 18.620664113657952 6.756734104265493 6.328860145179421 5.535069864213383 53.22438888919735
53460 18.777902561832136 6.803792205987201 6.383760610228444 5.590349745616486 53.704526913140015
53890 18.93392032974448 6.847549139326628 6.437838930890282 5.648532259527549 54.22203884932375
54320 19.096086530550725 6.910391785248969 6.483365944503656 5.70232880079787 54.875546684883496
54750 19.265376427020602 6.977192043918809 6.52940816479731 5.75877621830459 55.64046024029426
55180 19.434397089587762 7.052187558441416 6.570017914648878 5.812191616497583 56.47565120557374
55610 19.59648373558074 7.1178281355121555 6.6126368366977815 5.8660187633705965 56.988130542170076
56040 19.746235681375108 7.157011940501488 6.665328744749257 5.923894996124289 57.45224737175169
56470 19.88756891612065 7.203413844768395 6.708664705153271 5.97549036619893 57.83876330840788
56900 20.04177735874379 7.274253245967264 6.750958244098593 6.016565868677945 58.31812456998507
