# t MSD MSD_a MSD_b MSD_c MSCD
1000 1.1257967484396187 0.40791984466458775 0.39525697388608527 0.32261992988895194 1.5847001747467304
1430 1.2758746064511752 0.45392599327701316 0.44830076937415614 0.3736478438000047 1.8744414361539503
1860 1.4568771115088175 0.5226117585546579 0.5144804842534473 0.41978486870070497 2.072123308188885
2290 1.6378560684379002 0.5921640228026894 0.584232626250067 0.4614594193851409 2.336726233416716
2720 1.7859261774949866 0.643254156836307 0.6335057265324259 0.5091662941261983 2.603510208116489
3150 1.9267861332285483 0.6907684349543954 0.6824631391526587 0.5535545591215048 2.8486266637396027
3580 2.08377072427528 0.7490374068162501 0.7363290606805751 0.5984042567784955 3.1337678267743514
4010 2.2317201383147083 0.8014768891543679 0.789507336119413 0.6407359130409441 3.3454545354289253
4440 2.37332392462562 0.8522318221296896 0.8370412376213001 0.6840508648746159 3.5555505511489347
4870 2.5198906060943504 0.9058119712698751 0.8873350983269909 0.7267435364974182 3.725014262576725
5300 2.6605709372631368 0.96104561268907 0.9357043849358746 0.7638209396381672 3.9095070395529032
5730 2.8037529753229986 1.0203827554285503 0.983093926795509 0.8002762930989492 4.107437818540226
6160 2.9464712637228674 1.0727496993351788 1.0338785848472638 0.8398429795404985 4.271865657236072
6590 3.0809062002153267 1.1233215303896182 1.0809651355907486 0.876619534235038 4.455209777735157
7020 3.211842857725784 1.172488859214744 1.1255695164130295 0.9137844820980757 4.645407952540082
7450 3.346609337014283 1.2228719430672708 1.1682507505564297 0.955486643390536 4.7437884183139465
7880 3.4799308078572064 1.2748382304052859 1.2144456432274857 0.9906469342244418 4.880172266153919
8310 3.625945818675301 1.3298936892435016 1.2647101941318069 1.0313419353000117 5.041988340831614
8740 3.764605195990241 1.3775550746427943 1.3160684861731315 1.0709816351743051 5.302340308671438
9170 3.9061374441460077 1.4309043833660693 1.3637042328698186 1.1115288279101456 5.549443287610752
9600 4.041625859826636 1.482411263835553 1.4111388742671513 1.148075721723993 5.73812946090102
10030 4.179436663526652 1.5339026005347172 1.4609725932443152 1.1845614697476738 5.857928575864247
10460 4.3202548135953345 1.5878841667967614 1.509264610605231 1.2231060361933404 6.017520727604995
